"BOX","AER","Lwratio","box_num","box_ver","rich_num","temp","vel","inlet_angle","window","old_new","inlet_angle_sine","richardson_num"
"AERStall ",70.83,"3","40","4","URI",22,2.5,"0","OpenUp","old",0,0.198
"AERStall ",53.96,"3","40","4","URI",22,2.5,"45","OpenUp","old",0.850903524534118,0.198
"AERStall ",27.2,"3","40","4","URI",22,2.5,"90","OpenUp","old",0.893996663600558,0.198
"AERStall ",79.52,"3","40","4","URI",30,2.8,"0","OpenUp","old",0,0.078
"AERStall ",58.93,"3","40","4","URI",30,2.8,"45","OpenUp","old",0.850903524534118,0.078
"AERStall ",23.6,"3","40","4","URI",30,2.8,"90","OpenUp","old",0.893996663600558,0.078
"AERStall ",34.67,"3","40","4","ZRI",10,0.85,"0","OpenUp","old",0,3
"AERStall ",27.59,"3","40","4","ZRI",10,0.85,"45","OpenUp","old",0.850903524534118,3
"AERStall ",22.03,"3","40","4","ZRI",10,0.85,"90","OpenUp","old",0.893996663600558,3
"AERStall ",34.42,"3","40","4","ZRI",15,0.97,"0","OpenUp","old",0,1.9
"AERStall ",27.47,"3","40","4","ZRI",15,0.97,"45","OpenUp","old",0.850903524534118,1.9
"AERStall ",21.35,"3","40","4","ZRI",15,0.97,"90","OpenUp","old",0.893996663600558,1.9
"AERStall ",34.52,"3","10","2","ORI",0,0.33,"0","OpenUp","old",0,28
"AERStall ",28.63,"3","10","2","ORI",0,0.33,"45","OpenUp","old",0.850903524534118,28
